GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
0,0,0,20.3,0.0
0,0,0,10.2,0.0
0,0,0,11.6,0.0
455,232,297,27.0,447.5745960327337
0,0,0,4.3,0.0
0,0,0,17.0,0.0
0,0,0,2.4000000000000004,0.0
0,0,0,1.6,0.0
0,0,0,12.1,0.0
118,485,39,21.0,365.99609347008567
74,2,74,16.3,65.3581810146016
0,0,0,22.200000000000003,0.0
744,319,442,29.200000000000003,627.6060328986644
0,0,0,-1.2000000000000002,0.0
21,76,15,4.1000000000000005,55.82208462792978
212,646,49,21.200000000000003,525.1659367989233
0,0,0,-1.5,0.0
479,653,132,-7.9,750.3291988595325
0,0,0,23.1,0.0
735,713,173,28.4,770.7759600915952
897,876,108,28.4,845.1579999603721
704,850,105,23.700000000000003,850.9402048959435
0,0,0,-0.5,0.0
0,0,0,4.800000000000001,0.0
357,54,313,18.9,316.59172632719003
0,0,0,12.9,0.0
0,0,0,9.8,0.0
0,0,0,15.4,0.0
0,0,0,15.4,0.0
494,392,251,3.7,597.6435571096412
361,151,264,25.3,350.5851111709532
37,0,37,22.3,31.00529059577556
0,0,0,7.5,0.0
21,0,21,0.6000000000000001,19.50767948900567
123,165,86,-10.4,203.50945932672295
37,0,37,2.9000000000000004,34.013973827044616
0,0,0,13.1,0.0
774,821,119,26.200000000000003,824.4366331352825
268,201,170,24.0,311.4188562400124
110,143,80,0.4,183.08305662365967
0,0,0,-6.0,0.0
886,706,224,18.9,836.4149223543019
0,0,0,4.4,0.0
0,0,0,5.800000000000001,0.0
0,0,0,-6.800000000000001,0.0
0,0,0,9.7,0.0
30,0,30,10.2,26.660951713140207
816,894,117,12.9,955.656780232824
548,305,312,20.9,540.620541544093
518,483,205,15.4,597.8127934976109
0,0,0,6.800000000000001,0.0
0,0,0,9.5,0.0
198,220,126,1.9,296.96154866187777
0,0,0,6.6000000000000005,0.0
0,0,0,-1.0,0.0
96,0,96,9.0,85.79791021908156
8,16,8,1.8,15.260120541491869
63,149,44,10.8,119.36279583126137
0,0,0,3.3000000000000003,0.0
0,0,0,15.7,0.0
7,56,7,7.9,41.974659671132684
419,250,256,24.200000000000003,435.2672181295752
75,411,32,16.400000000000002,310.3811127634236
0,0,0,0.3,0.0
0,0,0,-6.7,0.0
0,0,0,-2.5,0.0
0,0,0,11.0,0.0
0,0,0,2.3000000000000003,0.0
78,18,74,15.6,77.42021579373932
0,0,0,-2.7,0.0
604,190,432,23.9,530.9909962780263
234,706,53,5.300000000000001,506.5773773276949
0,0,0,2.2,0.0
0,0,0,1.9,0.0
0,0,0,-0.4,0.0
0,0,0,13.6,0.0
118,266,67,12.8,256.7694965546404
5,11,5,5.800000000000001,10.147366428296872
295,144,221,5.6000000000000005,326.75628825674835
433,249,274,19.9,445.4683299304468
0,0,0,-0.4,0.0
0,0,0,20.8,0.0
5,0,5,15.5,4.332416296535772
0,0,0,1.3,0.0
661,901,87,17.900000000000002,845.6634983513949
388,869,60,1.0,800.486675513421
0,0,0,1.5,0.0
123,458,49,3.8,318.1333541687692
55,0,55,15.9,47.56436551002957
0,0,0,20.1,0.0
2,3,2,19.9,3.399921124238923
818,991,90,4.5,1048.0146273105993
247,83,203,18.4,239.33246420851552
0,0,0,20.4,0.0
0,0,0,3.2,0.0
272,176,189,27.0,285.5536397272596
572,604,161,26.9,664.4058156773107
675,878,86,19.9,874.7835106218679
775,406,393,23.6,682.7156826253452
0,0,0,10.9,0.0
0,0,0,9.4,0.0
539,690,144,0.9,784.4342550270969
0,0,0,1.3,0.0
188,27,175,5.2,182.4763186007456
136,55,119,6.9,147.01270973274396
159,3,156,16.0,137.66990827364518
0,0,0,4.5,0.0
148,255,85,26.0,252.7168531158
0,0,0,17.0,0.0
233,400,96,24.200000000000003,349.4741282702085
0,0,0,3.0,0.0
916,813,174,18.3,900.8871380881787
67,84,54,25.3,99.98509427759105
66,0,66,13.7,57.68584937433734
0,0,0,8.0,0.0
0,0,0,20.200000000000003,0.0
85,62,73,-0.7000000000000001,115.09898228984784
673,520,265,26.9,680.0560559043122
663,248,436,28.700000000000003,571.1199721941532
0,0,0,19.3,0.0
35,0,35,7.300000000000001,31.529884384156947
122,516,43,3.2,418.8125046333633
0,0,0,-8.5,0.0
0,0,0,-0.2,0.0
0,0,0,19.3,0.0
78,0,78,25.200000000000003,64.41437946867444
772,649,227,21.5,783.0253830278884
0,0,0,2.9000000000000004,0.0
0,0,0,22.6,0.0
0,0,0,-0.6000000000000001,0.0
45,0,45,16.7,38.765403823337785
237,572,73,5.6000000000000005,520.9043629267178
502,947,61,-0.2,900.502444330873
87,1,87,-0.8,82.17216840521398
188,402,79,22.1,321.13502276830525
825,561,300,28.8,730.5673274014833
0,0,0,-3.0,0.0
3,8,3,23.700000000000003,6.94193940488004
214,28,199,20.9,190.0811462815881
301,684,64,17.3,522.9474098809789
5,3,5,2.8000000000000003,6.504875010425469
514,810,93,13.5,803.5588953013201
0,0,0,-3.6,0.0
0,0,0,3.6,0.0
436,913,72,-8.700000000000001,891.5087204939322
0,0,0,9.4,0.0
0,0,0,-4.0,0.0
0,0,0,3.2,0.0
222,448,89,26.3,404.48125997160565
856,771,163,28.200000000000003,801.0841116042781
0,0,0,24.0,0.0
0,0,0,12.2,0.0
0,0,0,19.700000000000003,0.0
26,0,26,12.4,22.866402396542
0,0,0,2.5,0.0
10,0,10,13.1,8.765429413286725
4,14,4,8.1,11.593379613532592
0,0,0,4.6000000000000005,0.0
258,12,248,15.8,225.83509267751865
12,0,12,11.2,10.614082275148494
0,0,0,9.5,0.0
0,0,0,12.1,0.0
0,0,0,0.5,0.0
831,815,137,26.8,839.0307991017628
290,114,225,22.5,280.35663868815993
0,0,0,-4.4,0.0
0,0,0,17.0,0.0
0,0,0,-2.8000000000000003,0.0
45,105,35,-0.7000000000000001,103.918348337166
104,305,53,9.3,271.90338318731006
0,0,0,-2.4000000000000004,0.0
0,0,0,-2.0,0.0
12,35,10,25.700000000000003,30.032894651142595
286,594,77,23.5,468.3218398933733
23,193,17,2.6,146.9165450941175
0,0,0,14.6,0.0
504,281,307,24.8,495.1897688148535
461,920,58,1.7000000000000002,874.2277585567296
0,0,0,13.8,0.0
340,748,69,6.5,617.8312759729051
10,0,10,5.0,9.104943681512964
0,0,0,1.6,0.0
607,256,392,24.6,555.5635300518867
282,815,53,-0.7000000000000001,715.5723027308482
0,0,0,23.0,0.0
0,0,0,11.4,0.0
0,0,0,-10.0,0.0
321,757,68,-2.5,650.875645370116
0,0,0,9.1,0.0
919,921,90,25.700000000000003,899.80213079303
0,0,0,14.0,0.0
7,0,7,17.6,6.003767262768282
320,53,271,30.6,263.1732977944717
0,0,0,2.6,0.0
77,3,76,27.5,64.41380180650722
924,858,142,18.4,915.1192430856528
724,903,88,23.8,855.9875310414699
108,0,108,3.6,98.96715172769564
13,0,13,4.800000000000001,11.847324774823498
0,0,0,23.200000000000003,0.0
0,0,0,19.8,0.0
0,0,0,2.4000000000000004,0.0
187,21,177,0.6000000000000001,182.71352437249664
48,0,48,14.4,41.81250945121681
0,0,0,1.5,0.0
105,1,104,19.3,89.35640947609419
0,0,0,1.1,0.0
0,0,0,24.1,0.0
0,0,0,-3.7,0.0
0,0,0,6.800000000000001,0.0
0,0,0,16.0,0.0
0,0,0,10.0,0.0
0,0,0,-0.7000000000000001,0.0
0,0,0,4.1000000000000005,0.0
0,0,0,-1.2000000000000002,0.0
0,0,0,14.9,0.0
